Entidad ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic ,Anual
Aguascalientes ,14,16.9,19,19.6,22.3,23.2,21.4,20.9,19.5,18.6,16.7,13.8,18.8
Baja California ,14.3,12.2,15.6,20.4,20.4,24.1,25.6,28.1,25.3,21,17.9,13.6,19.9
Baja California Sur ,18.7,18.4,20.3,22.5,22.6,26.5,29.6,30,28.4,25.6,22.8,18.9,23.7
Campeche ,23.3,26.6,26.9,28.7,31.1,29.9,29,29.3,28.7,28.2,26,24.2,27.7
Coahuila ,13.5,17.1,18.8,22.8,26.4,28.3,28.7,30.5,27.4,22.8,17.6,14.7,22.4
Colima ,25.9,25.5,26.2,25.4,26.7,29.3,29.1,29.1,28.6,27.9,28,26.6,27.4
Chiapas ,23,24.8,25.4,26.5,27.7,26.6,26.3,26.7,26.3,25.8,24.8,23.2,25.6
Chihuahua ,11,12.8,16.4,18.9,22,26.3,26.4,25.8,22.8,19,15,10.8,18.9
Ciudad de México ,15.4,18.1,19.2,20.2,21.4,20.1,18.9,19.8,19.4,19.1,17.9,15.7,18.8
Durango ,12.6,15.6,17.6,19,20.9,24.5,23.3,23.9,21.6,19.8,15.9,12.6,18.9
Guanajuato ,15.5,18,20.2,20.9,23.4,22.6,20.9,21.3,20.5,20.1,18.6,15.6,19.8
Guerrero ,23.3,24.6,25.9,25.9,26.7,26.5,25.7,26.4,25.8,25.4,25.3,24.3,25.5
Hidalgo ,15.4,19,19.5,21.4,23.7,22,21.1,21.3,20.4,20,18.5,15.5,19.8
Jalisco ,17.3,19.6,21.4,21.8,24.2,25.4,23.5,23.6,23.1,22.4,21.1,18.5,21.8
Estado de México ,12.3,14.6,16.1,16.8,18.3,17.7,16.4,16.5,15.9,15.7,14.7,12.5,15.6
Michoacán ,17.5,19.9,21.5,21.8,23.9,23.5,22.3,21.9,21.5,21.2,20.6,18.3,21.2
Morelos ,19.2,21.9,24.4,24.6,25.4,23.6,22.4,22.6,22.4,21.7,21.2,19.5,22.4
Nayarit ,22.9,23.6,24.4,25.3,26.7,29.9,29.5,28.7,28.4,28.1,27,23.6,26.5
Nuevo León ,14.2,18.2,19.4,22.7,26.5,28.2,27.9,29.8,26.4,23.4,18.3,16.2,22.6
Oaxaca ,21.4,24.3,24.4,25.6,26.7,25.8,24.3,25.3,24.8,23.7,22.8,21.2,24.2
Puebla ,15.2,18.1,18.9,20.4,22.1,20.8,19.6,20.3,19.7,18.9,17.8,16,19
Querétaro ,16.6,19.2,20.8,22.3,25,23.2,21.7,23.3,21.8,20.8,19.4,16.2,20.9
Quintana Roo ,23.9,26.7,27,28.2,30.1,30.6,30.7,30.4,29.6,28.7,26.2,24.9,28.1
San Luis Potosí ,18.4,21.8,22.2,25.5,29.2,28.5,27.7,29,26.8,25,21.2,19.1,24.5
Sinaloa ,20.4,20.8,22.7,24.2,26,30,31,30.2,29,28.2,25.3,21.2,25.8
Sonora ,14.6,14.4,18.5,21.4,22.5,28.7,30.9,30.8,27.8,23.7,20.4,15.2,22.4
Tabasco ,23.5,26,26.4,28.1,31.3,29.8,29,29.8,28.8,27.9,25.7,24.4,27.6
Tamaulipas ,17.4,21,22.2,25.1,29.3,30.4,30,31.6,28.8,25.6,20.4,19.1,25.1
Tlaxcala ,12.3,14.9,16.4,17.4,18.6,17.8,16.7,16.7,16.4,15.7,14.5,12.3,15.8
Veracruz ,18.9,21.9,22,23.8,27.2,26.2,25.2,25.8,24.9,23.6,20.6,19.5,23.3
Yucatán ,22.5,25.9,26.3,28.3,30.4,30.2,29.1,29.2,28.9,28.1,25.1,23.6,27.3
Zacatecas ,13.1,16,18,18.5,21.1,22.6,20.9,21.3,19.9,18.9,16.5,13.2,18.3
