Entidad ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic ,Anual
Aguascalientes ,13,16.7,18.8,19.9,21.9,21.3,20.5,20.4,19.9,18.5,14.7,12.7,18.2
Baja California ,16.3,15.5,16.6,20.4,20.5,24.3,28.6,29.6,27.2,21.6,17.1,13.8,21
Baja California Sur ,19.7,19.9,20.7,22.9,24.8,26.9,29.9,29.9,29.3,25.7,22.1,19.2,24.3
Campeche ,22.3,26.1,27.5,28.5,28.9,28.8,29,28.4,28.4,27.4,26,24.4,27.1
Coahuila ,11.7,18,20.5,22.2,27.4,29.4,28.7,28.7,24.7,21.5,15.5,13.6,21.8
Colima ,25.2,26.2,25.8,25.8,28.7,28.4,29.5,28.4,28.4,27.8,26.5,25.6,27.2
Chiapas ,21.8,24.7,26.1,26.5,26.9,25.8,26,25.7,25.8,25.3,24.7,22.4,25.1
Chihuahua ,11,14.8,17,20.4,24.7,26.7,25.6,24.7,22.6,18.7,13.3,10.8,19.2
Ciudad de México ,13.4,17,19.2,19.3,20.3,19.6,19,18.2,18.7,18,16,14.9,17.8
Durango ,12.1,15.9,18.8,20.4,23.4,24.5,23.6,23.3,21,18.7,14,11.8,19
Guanajuato ,13.9,17.4,20.3,21.3,22.8,21.4,20.7,20.4,20.2,19.7,16.4,14.5,19.1
Guerrero ,22.9,24.4,25.7,26.5,27.1,26,26.5,25.2,25.4,25,24.2,23.4,25.2
Hidalgo ,13.4,16.7,18.5,19.5,20.4,20.7,21,20.7,20.9,19.8,17.1,15.3,18.7
Jalisco ,16.8,19.5,21.1,22.4,24.8,23.8,23.3,22.8,22.6,21.6,18.6,16.6,21.2
Estado de México ,10.5,13.8,15.5,16,16.9,16.7,16.2,15.8,16.2,15.5,13.5,12.9,15
Michoacán ,16.5,19.2,21.8,22.9,24.1,22.7,22.2,21.9,21.9,21.3,18.6,17,20.8
Morelos ,18.4,22.1,24.6,25,24,23.2,23.1,21.9,21.8,21.8,20.6,19.1,22.1
Nayarit ,21.7,24.7,24.6,25.4,28.6,29.3,29,28.4,28.2,27.5,24.9,22,26.2
Nuevo León ,12.3,18.6,21.5,21.9,26.1,27.8,28.1,28.6,25.9,22.1,16.3,14.8,22
Oaxaca ,20.2,23.1,24.9,24.9,26.6,24.1,24.5,24.7,24.8,24.6,23.2,21.3,23.9
Puebla ,13.1,17,19.1,19.3,20.1,20.4,19.5,19,19.6,18.7,16.8,15.3,18.2
Querétaro ,13.5,18.5,21,22.3,23.7,22,22,22,21.6,20.3,17.6,15.7,20
Quintana Roo ,23.1,26.4,26.7,28,28.5,29.2,29.9,29.6,29,28.2,26.9,25,27.5
San Luis Potosí ,15.5,21.9,23.7,24.1,26.8,27.4,27.4,27,26.5,23.9,19.9,18.1,23.5
Sinaloa ,20.9,22.4,23,25.1,28.2,30.4,30.9,29.7,29,27.8,23.6,20.4,26
Sonora ,16.7,16.4,19.2,22.7,25.4,30,30.8,29.4,29,23.3,17.8,14.6,22.9
Tabasco ,22.1,25.8,27.5,28.3,29.3,29,29.4,28.5,28.6,27.9,26.2,24.3,27.2
Tamaulipas ,15.1,22,23.9,24.5,28,29.3,30,30.1,28.6,24.9,19.4,17.9,24.5
Tlaxcala ,11.1,14.4,16.4,16.4,17.6,17,16.6,16.6,17.1,16.5,14.4,12.7,15.6
Veracruz ,16.9,21.3,22.8,23,25.1,25.7,25.3,24.5,25,23.4,21.1,19.3,22.8
Yucatán ,21.7,25.5,26.3,27.7,28.1,28.2,28.8,28.3,28.2,27.3,25.4,23.7,26.6
Zacatecas ,12.5,15.8,18.1,19.3,21.9,21,20.5,19.9,19.3,17.8,14.3,12,17.7
