Entidad ,Ene ,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic ,Anual
Aguascalientes ,13,15,19.3,20.5,20.7,22.1,20.8,20,19,17.6,15.8,13.5,18.1
Baja California ,13.6,14.4,14.4,18.1,22.7,24.2,26.7,28.5,26.6,23,16.4,13.8,20.2
Baja California Sur ,17.8,18.4,19.8,21.8,23.9,26.8,28.7,29.6,29.4,27,22.8,18.2,23.7
Campeche ,24.6,26,28,31.1,30.2,28.9,29.3,29,28.8,27.6,26.3,23.9,27.8
Coahuila ,14.3,15.6,22.1,23.9,26.8,27.9,29.2,28.5,24.2,22.5,19.4,13.3,22.3
Colima ,25.8,25.4,26.6,25.9,26.3,28.3,28.8,28.2,28.1,28.7,27.8,25.5,27.1
Chiapas ,24.5,25.3,25.6,27.8,27.3,25.8,26.1,26,25.7,25.1,24.8,22.4,25.5
Chihuahua ,10.8,12,16.7,19.4,23.7,26.4,26.1,26.6,22.6,20,16.3,9.6,19.2
Ciudad de México ,15.6,18.1,19.4,20.7,19.9,19.8,19.6,19,18.5,16.9,16.1,15.5,18.3
Durango ,11.8,13.8,18.4,20.2,22.2,23.7,23.3,23,20.4,18.4,15.9,11.5,18.6
Guanajuato ,15.2,17.3,20.6,22.8,22.2,22.1,21.4,20.7,19.9,18.8,17.5,15.9,19.5
Guerrero ,24.2,24.8,26.2,27.1,27,26.9,26.3,26,25.5,25.4,25.1,24.2,25.7
Hidalgo ,15.5,17.1,20.5,22.8,22.1,21.2,21.7,20.7,20.1,18.1,16.3,15.1,19.3
Jalisco ,17.8,19.5,22.4,22.8,23.5,24.9,23.5,23.1,22.7,22.2,20.6,17.9,21.7
Estado de México ,11.8,14,16.3,17.6,16.8,16.8,16.6,16,15.6,14,13.2,12.8,15.1
Michoacán ,17.7,19.5,21.7,23.2,23,22.9,22,21.5,21,20.2,19.4,17.8,20.8
Morelos ,19.4,21.4,24.7,26,25.3,24.8,22.9,22.6,22,21,20.9,20,22.6
Nayarit ,22.6,22.8,24.7,24.8,26.6,29.1,28.8,28.5,28.2,28.7,26.4,21.8,26.1
Nuevo León ,16.2,16.5,22.9,24.6,26,26.7,28.3,27.8,24.7,22.5,20.2,14.3,22.6
Oaxaca ,21.8,22.7,24.6,26.7,25.8,25,24.8,24.2,24.3,23.2,22.4,20.3,23.8
Puebla ,15.8,17.3,20,22.4,21.4,20.9,20.7,20.2,19.6,18.3,17.4,15.7,19.1
Querétaro ,15.8,18.7,22,24.1,23.8,22.9,22.7,21.9,21,19.3,18,15.3,20.5
Quintana Roo ,25.3,26,26.8,29.6,29.3,29,29.6,29.6,29.7,28.4,27,24.5,27.9
San Luis Potosí ,18.8,20,24.6,28.2,27.6,27.9,28.4,27.3,25.9,24.2,22.3,17.6,24.4
Sinaloa ,19.9,20.5,22.9,24.4,27.3,30.6,30.7,31,30,29.5,25.4,20.4,26.1
Sonora ,14.7,15.7,17.7,21,25.8,29.8,31.9,32.5,30.4,26.3,20.5,14.6,23.4
Tabasco ,24.7,25.8,27.6,30.8,30,28.7,29.6,28.8,28.3,27.3,25.9,23.6,27.6
Tamaulipas ,19.5,19.1,25.2,27.7,28.2,28.7,30.2,29.4,27.4,25.4,23.2,17.9,25.2
Tlaxcala ,11.8,14.2,16.3,18,17.1,16.9,16.5,16.3,15.9,14.5,13.4,12.5,15.3
Veracruz ,19.4,20,23.7,26.9,25.9,25.2,26,24.9,24.6,23.1,21.4,18.5,23.3
Yucatán ,23.7,25.1,26.9,30.9,29.4,28.4,29,29,28.9,27.2,25.6,23.2,27.3
Zacatecas ,12.7,14.7,19.1,20.3,21,22.6,21,20.8,19.5,18,16.3,13.4,18.3
