Entidad ,Ene,Feb ,Mar ,Abr ,May ,Jun ,Jul ,Ago ,Sep ,Oct ,Nov ,Dic 
Aguascalientes ,12.81,15.07,17.95,19.68,21.55,21.82,20.47,20.34,19.58,17.87,15.46,13.36
Baja California ,14.28,13.50,15.31,18.40,20.35,23.99,26.81,27.93,26.13,21.73,16.53,13.39
Baja California Sur ,17.90,18.20,19.73,21.78,23.47,26.19,28.73,29.48,28.76,25.99,21.73,18.23
Campeche ,23.18,25.26,26.75,29.32,30.11,29.09,28.83,28.61,28.37,26.91,25.58,23.48
Coahuila ,12.88,15.64,19.99,23.39,26.79,28.40,28.15,28.75,25.29,22.30,17.54,13.66
Colima ,24.56,24.63,25.13,25.43,27.09,28.09,28.17,27.84,27.29,27.64,26.41,24.89
Chiapas ,22.67,24.14,25.10,26.75,27.17,25.99,25.84,25.66,25.50,24.55,23.97,22.07
Chihuahua ,10.35,12.44,16.09,19.48,22.93,26.37,25.28,25.10,23.56,19.15,14.23,10.51
Ciudad de México ,14.53,16.74,18.63,19.76,20.61,19.57,18.71,18.83,18.40,17.30,16.03,14.53
Durango ,11.58,13.92,17.17,19.52,22.02,23.98,22.76,22.83,20.98,18.63,14.67,11.74
Guanajuato ,14.63,16.69,19.50,21.37,22.82,21.95,20.82,20.67,20.88,18.71,16.82,14.99
Guerrero ,23.25,24.25,25.58,26.56,27.42,26.35,25.78,25.43,24.54,25.24,24.60,23.30
Hidalgo ,14.51,16.56,18.65,20.76,21.80,20.74,20.14,20.09,19.60,17.88,16.29,14.51
Jalisco ,16.83,18.71,20.87,22.21,24.17,24.34,23.09,22.93,22.60,21.40,19.27,17.55
Estado de México ,11.29,13.31,15.39,16.61,17.56,16.76,15.97,15.74,15.34,14.21,13.17,12.08
Michoacán ,16.37,17.94,20.33,22.40,23.17,22.39,21.48,21.21,20.96,19.92,18.36,16.78
Morelos ,18.68,20.85,23.68,24.73,25.10,23.64,22.50,22.14,21.97,21.26,20.48,18.84
Nayarit ,21.45,22.51,23.69,24.99,27.14,28.86,28.28,28.07,27.92,27.71,25.20,21.96
Nuevo León ,13.97,16.57,20.71,23.41,26.56,27.71,27.52,28.47,26.15,22.57,18.37,14.79
Oaxaca ,20.94,22.74,24.23,25.93,26.81,25.18,24.72,24.65,24.36,23.60,22.71,20.83
Puebla ,14.44,16.52,18.56,20.32,21.01,20.18,19.47,19.42,19.07,17.79,16.66,15.05
Querétaro ,15.08,17.29,19.80,22.12,23.46,22.04,21.45,21.54,20.68,19.05,17.25,15.43
Quintana Roo ,23.86,25.41,26.01,28.33,29.17,29.12,29.40,29.40,29.13,27.57,26.11,24.19
San Luis Potosí ,17.20,19.42,22.76,25.79,27.54,27.20,26.59,26.85,26.43,23.46,20.55,17.65
Sinaloa ,19.67,20.31,22.28,24.25,26.93,29.99,30.33,29.90,28.61,28.00,23.69,19.81
Sonora ,14.59,15.10,18.13,21.44,24.28,29.38,30.71,30.43,28.98,24.18,18.49,14.36
Tabasco ,22.95,24.76,26.31,28.93,29.85,28.92,28.73,28.43,27.99,26.78,25.28,23.14
Tamaulipas ,17.10,18.91,22.86,25.86,28.32,29.17,29.13,29.79,28.15,24.86,21.02,17.95
Tlaxcala ,11.62,13.62,15.56,16.93,17.62,16.86,16.20,16.25,15.99,14.77,13.47,11.98
Veracruz ,18.36,20.12,22.31,24.85,26.26,25.68,25.18,25.02,24.69,23.01,21.06,18.93
Yucatán ,22.50,24.52,25.76,28.69,29.33,28.74,28.49,28.40,28.25,26.45,24.81,22.73
Zacatecas ,12.26,14.44,17.41,19.19,21.40,21.83,20.36,20.38,19.40,17.50,14.89,12.68
